date,sku,manufacturer,name,salesRankShortTerm,salesRankMediumTerm,salesRankLongTerm,bestSellingRank,customerReviewAverage,customerReviewCount,image,url
2017_09_05,5754303,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",827.0,1036.0,1205,1097,4.7,161,https://img.bbystatic.com/BestBuy_US/images/products/5754/5754303_sa.jpg,https://api.bestbuy.com/click/-/5754303/pdp
2017_09_05,5773708,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",964.0,1159.0,1285,1198,4.7,216,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773708_sa.jpg,https://api.bestbuy.com/click/-/5773708/pdp
2017_09_05,5773704,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",1050.0,1505.0,1474,1420,4.7,202,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773704_sa.jpg,https://api.bestbuy.com/click/-/5773704/pdp
2017_09_05,5773804,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",1692.0,2357.0,2458,2301,4.9,68,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773804_sa.jpg,https://api.bestbuy.com/click/-/5773804/pdp
2017_09_05,5773847,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV",2094.0,2949.0,2935,2857,4.7,122,https://img.bbystatic.com/BestBuy_US/images/products/5773/5773847_sa.jpg,https://api.bestbuy.com/click/-/5773847/pdp
2017_09_05,5758118,Samsung,"Samsung - 55"" Class (54.6"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",5668.0,6084.0,7312,6696,4.8,24,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758118_sa.jpg,https://api.bestbuy.com/click/-/5758118/pdp
2017_09_05,5758120,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",5775.0,6240.0,6892,6576,4.9,35,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758120_sa.jpg,https://api.bestbuy.com/click/-/5758120/pdp
2017_09_05,5758300,Samsung,"Samsung - 75"" Class (74.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",10484.0,11462.0,10951,11183,4.2,13,https://img.bbystatic.com/BestBuy_US/images/products/5758/5758300_sa.jpg,https://api.bestbuy.com/click/-/5758300/pdp
2017_09_05,5786407,Samsung,"Samsung - 55"" Class (54.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",14257.0,14277.0,17236,15811,4.7,7,https://img.bbystatic.com/BestBuy_US/images/products/5786/5786407_sa.jpg,https://api.bestbuy.com/click/-/5786407/pdp
2017_09_05,5786402,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV with High Dynamic Range",18307.0,16686.0,19709,18660,4.6,10,https://img.bbystatic.com/BestBuy_US/images/products/5786/5786402_sa.jpg,https://api.bestbuy.com/click/-/5786402/pdp
2017_09_05,5034500,Samsung,"Samsung - 65"" Class (64.5"" Diag.) - LED - Curved - 2160p - Smart - 4K Ultra HD TV - with High Dynamic Range",25666.0,37934.0,52414,38177,4.8,523,https://img.bbystatic.com/BestBuy_US/images/products/5034/5034500_sa.jpg,https://api.bestbuy.com/click/-/5034500/pdp
2017_09_05,5336000,Samsung,"Samsung - 88"" Class (88"" Diag.) - Curved -  2160p - Smart - 4K Ultra HD TV with High Dynamic Range",,,91936,96770,5.0,1,https://img.bbystatic.com/BestBuy_US/images/products/5336/5336000_sa.jpg,https://api.bestbuy.com/click/-/5336000/pdp
