date,sku,manufacturer,name,salesRankShortTerm,salesRankMediumTerm,salesRankLongTerm,bestSellingRank,customerReviewAverage,customerReviewCount,image,url
2017_09_08,4822001,Insignia™,"Insignia™ - 32"" Class (31.5"" Diag.) - LED - 720p - Smart - Roku TV",98.0,82.0,116,103,4.5,4793.0,https://img.bbystatic.com/BestBuy_US/images/products/4822/4822001_sa.jpg,https://api.bestbuy.com/click/-/4822001/pdp
2017_09_08,4863301,Sharp,"Sharp - 43"" Class (42.5"" Diag.) - LED - 1080p - Smart - HDTV - Roku TV",121.0,83.0,174,141,4.5,2537.0,https://img.bbystatic.com/BestBuy_US/images/products/4863/4863301_sa.jpg,https://api.bestbuy.com/click/-/4863301/pdp
2017_09_08,5803100,LG,"LG - 49"" Class (48.5"" Diag.) - LED - 1080p - Smart - HDTV",263.0,189.0,237,223,4.6,174.0,https://img.bbystatic.com/BestBuy_US/images/products/5803/5803100_sa.jpg,https://api.bestbuy.com/click/-/5803100/pdp
2017_09_08,5878703,TCL,"TCL - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV Roku TV",269.0,241.0,303,281,4.5,37.0,https://img.bbystatic.com/BestBuy_US/images/products/5878/5878703_sa.jpg,https://api.bestbuy.com/click/-/5878703/pdp
2017_09_08,4863802,Insignia™,"Insignia™ - 39"" Class (38.5"" Diag.) - LED - 1080p - Smart - HDTV Roku TV",327.0,250.0,194,205,4.5,4435.0,https://img.bbystatic.com/BestBuy_US/images/products/4863/4863802_sa.jpg,https://api.bestbuy.com/click/-/4863802/pdp
2017_09_08,5894900,Samsung,"Samsung - 58"" Class (57.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",371.0,277.0,240,254,4.5,80.0,https://img.bbystatic.com/BestBuy_US/images/products/5894/5894900_sa.jpg,https://api.bestbuy.com/click/-/5894900/pdp
2017_09_08,5803102,LG,"LG - 43"" Class (42.5"" Diag.) - LED - 1080p - Smart - HDTV",403.0,276.0,250,269,4.6,260.0,https://img.bbystatic.com/BestBuy_US/images/products/5803/5803102_sa.jpg,https://api.bestbuy.com/click/-/5803102/pdp
2017_09_08,5762002,Samsung,"Samsung - 50"" Class (49.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",441.0,265.0,349,327,4.7,328.0,https://img.bbystatic.com/BestBuy_US/images/products/5762/5762002_sa.jpg,https://api.bestbuy.com/click/-/5762002/pdp
2017_09_08,4380083,Samsung,"Samsung - 32"" Class (31.5"" Diag.) - LED - 1080p - Smart - HDTV",446.0,360.0,424,400,4.7,5410.0,https://img.bbystatic.com/BestBuy_US/images/products/4380/4380083_sa.jpg,https://api.bestbuy.com/click/-/4380083/pdp
2017_09_08,4904501,VIZIO,"VIZIO - 32"" Class - (31.51"" Diag.) - LED - 1080p - Smart - HDTV",503.0,425.0,335,360,4.6,670.0,https://img.bbystatic.com/BestBuy_US/images/products/4904/4904501_sa.jpg,https://api.bestbuy.com/click/-/4904501/pdp
2017_09_08,5768501,Samsung,"Samsung - 43"" Class (42.5"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",515.0,407.0,388,396,4.7,195.0,https://img.bbystatic.com/BestBuy_US/images/products/5768/5768501_sa.jpg,https://api.bestbuy.com/click/-/5768501/pdp
2017_09_08,6422016,Samsung,"Samsung - 40"" Class (40"" Diag.) - LED - 1080p - Smart - HDTV",570.0,874.0,581,633,4.6,5859.0,https://img.bbystatic.com/BestBuy_US/images/products/6422/6422016_sa.jpg,https://api.bestbuy.com/click/-/6422016/pdp
2017_09_08,5792910,LG,"LG - 55"" Class (54.6"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",601.0,357.0,345,354,4.5,108.0,https://img.bbystatic.com/BestBuy_US/images/products/5792/5792910_sa.jpg,https://api.bestbuy.com/click/-/5792910/pdp
2017_09_08,5763401,LG,"LG - 43"" Class (43"" Diag.) - LED - 2160p - Smart - 4K Ultra HD TV",629.0,429.0,441,444,4.5,401.0,https://img.bbystatic.com/BestBuy_US/images/products/5763/5763401_sa.jpg,https://api.bestbuy.com/click/-/5763401/pdp
